tmdb_id,name,headquarters,homepage,logo_path,origin_country
165813,KT Studio Genie,"Seocho, Seoul, South Korea",,https://image.tmdb.org/t/p/original/9IaR2RhaIU9ILTkhWfG0GBWi6qS.png,KR
64888,Group Eight,"Yongsan, Seoul, South Korea",http://www.group8.co.kr/,,KR
116201,Kirin Productions,"Jung, Seoul, South Korea",,,KR
948,SBS,,,,
5822,Toei Company,,https://www.toei.co.jp,https://image.tmdb.org/t/p/original/qyTbRgCyU9NLKvKaiQVbadtr7RY.png,JP
73112,Jellybox,,,,
113353,HODU&U Pictures,"Gangnam, Seoul, South Korea",,,KR
170305,Covenant Pictures,,,,KR
26559,NBCUniversal,"New York City, New York, United States",http://www.nbcuniversal.com/,https://image.tmdb.org/t/p/original/n4WUzEMiLm9TiE3Lzi7D08vQtqj.png,US
176988,Tiger Studio,"Mapo, Seoul, South Korea",https://tigerstudio.kr/,,KR
96521,ViuTV,,,,
115631,MYSTIC STORY,"Yongsan, Seoul, South Korea",http://www.mystic89.net/,https://image.tmdb.org/t/p/original/jEhWNgB1AX2ivucv38dKQ8HhcbY.png,KR
160238,Hardcut,,,,KR
36225,Bon Factory,"Gangnam, Seoul, South Korea",,https://image.tmdb.org/t/p/original/haNfBy6ZS1a1teY9JXNHHkFhZEj.png,KR
44337,YG Entertainment,"Mapo, Seoul, South Korea",http://www.ygfamily.com/,https://image.tmdb.org/t/p/original/iwhtnZBonWETPISDFB1DDWplSzA.png,KR
140163,watcha,"Seocho, Seoul, South Korea",https://watcha.team/,https://image.tmdb.org/t/p/original/q67Iyada586WNxPdADWT47TCrWO.png,KR
170935,Daewon Media,,,,
110558,Rakuten Viki,,,,
128404,CJ ENM,"Mapo, Seoul",https://watch.cjenm.com,https://image.tmdb.org/t/p/original/dP3usmr6di1jMPH738rvbxdkmSQ.png,KR
168965,Tooniverse,"66 Sangamsan-ro, Sangam-dong, Mapo-gu, Seoul, South Korea",http://tooniverse.tving.com/tooniverse,https://image.tmdb.org/t/p/original/vKqLXn5sLe0tQRyVNmZSH37FWqj.png,KR
160017,RED DOOR STUDIO,,https://www.youtube.com/channel/UCHNEk8QDS_HDZeP0Ioevvrg,https://image.tmdb.org/t/p/original/cePVJsatW5YZUtnGzksqGu9al6O.png,KR
57494,CMG Chorokstars,,,,
117010,JTBC PLUS,"Mapo, Seoul, South Korea",https://trend.jtbcplus.kr/,,KR
20580,Amazon Studios,"Santa Monica, California",https://studios.amazon.com/,https://image.tmdb.org/t/p/original/oRR9EXVoKP9szDkVKlze5HVJS7g.png,US
121159,ANDu Entertainment,"Yeongdeungpo, Seoul, South Korea",http://www.redwoods.co.kr/,,KR
126405,Production H,,,,KR
172185,DramaHouse,"Mapo, Seoul, South Korea",http://www.dramahouse.co.kr/,https://image.tmdb.org/t/p/original/u89w62EzN9WxzSxFEfHaZ09LXc7.png,KR
167653,Gazi Contents,,,,
63013,Curtain Call Media,,,,
168287,3Mana Creative,,,,
